KURUMLAR LİSTE,,,,,,,,,
IL_ADI,ILCE_ADI,KURUM_ADI,ADRES,TEL,FAX,MERNIS_ADRES_KODU,WEB_ADRES,KURUM_TUR_ADI,KURUM_TUR_KODU
İSTANBUL,ADALAR,BURGAZADA SAİT FAİK ABASIYANIK İLKOKULU,BURGAZADA MAH. MEHTAP SK. BURGAZ ADA SAIT FAIK ABASIYANIK ILK OKULU BLOK NO: 65 ADALAR / İSTANBUL,(216) 381 12 88,(216) 381 12 88,2387208362,burgazadasfailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ADALAR,BÜYÜKADA ŞEHİT MURAT YÜKSEL İLKOKULU,NİZAM MAH. LALAHATUN SK. NO: 53 ADALAR / İSTANBUL,(216) 382 11 26,(216) 382 11 26,1767129040,buyukadailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ADALAR,HEYBELİADA İLKOKULU,HEYBELİADA MAH. HEYBELİ MEKTEBİ SK. NO: 26 İÇ KAPI NO: 1 ADALAR / İSTANBUL,(216) 351 15 75,(216) 351 15 75,1494438144,heybeliadailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ADALAR,KINALIADA MEHMETÇİK İLKOKULU,KINALIADA MAH. BEŞİROĞLU SK. NO: 44 ADALAR / İSTANBUL,(216) 381 43 57,(216) 381 43 57,2328710344,kinaliadamehmetcikilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,AHMET YESEVİ İLKOKULU,NENEHATUN MAH. YAZI SK. AHMET YESEVİ İLKOKULU BLOK NO: 2 İÇ KAPI NO: 4- ARNAVUTKÖY / İSTANBUL,(212) 597 16 00,(212) 681 11 11,2492845462,arnavutkoyahmetyesevi.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,ALP İLKOKULU,ÇİLİNGİR MAH. MİNELİ SK. NO: 2 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 683 09 43,(212) 683 09 43,1143453544,alpilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,ARNAVUTKÖY İLKOKULU,ANADOLU MAH. YILDIRIM BEYAZIT CAD. NO: 4 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 10 03,(212) 597 43 82,2224617437,arnavutkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,AŞIK VEYSEL İLKOKULU,ANADOLU MAH. BERAAT SK. NO: 16 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 74 63,(212) 597 75 24,1033057157,asikveyselilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,AYAZMA İLKOKULU,YUNUS EMRE MAH. NECİP FAZIL CAD. NO: 190 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 684 13 75,(212) 684 17 95,2553406527,ayazmailkokul.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,BAKLALI İLKOKULU,BAKLALI MAH. AKSOYLU SK. NO: 8 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 767 70 58,(212) 767 70 58,2094151525,baklaliio.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,BOĞAZKÖY İLKOKULU,BOĞAZKÖY İSTİKLAL MAH. MİLLİ EGEMENLİK CAD. NO: 19 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 684 10 52,(212) 684 01 02,2674302480,arnavutkoybogazkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,BOLLUCA İLKOKULU,BOLLUCA MAH. GÖKTÜRK CAD. NO: 5 İÇ KAPI NO: 0 ARNAVUTKÖY / İSTANBUL,,,3658916196,bollucailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,BOYALIK İLKOKULU,BOYALIK MAH. HACI SALİM AĞA CAD. ÖRFİ ÇETİNKAYA SİTESİ NO: 4 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 792 41 49,(212) 792 41 49,2410620542,boyalikorficetinkayailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,CAHİT ZARİFOĞLU İLKOKULU,HADIMKÖY MAH. TUĞCU SK. NO: 12 ARNAVUTKÖY / İSTANBUL,(212) 771 36 44,(212) 771 36 44,2210260705,czi.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,CEMAL REŞİT REY İLKOKULU,MUSTAFA KEMAL PAŞA MAH. ESKİ EDİRNE ASFALTI CAD. NO: 1440 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 10 09,(212) 597 79 16,1342381983,cemalresitreyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,DELİKLİKAYA İLKOKULU,DELİKLİKAYA MAH. KAYABAŞI CAD. NO: 25 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 775 20 95,(212) 775 20 95,2215653375,deliklikayailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,DURSUNKÖY İLKOKULU,DURSUNKÖY MAH. UYGUR CAD. NO: 1 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 791 71 01,(212) 791 71 01,3196020709,dursunkoyilkogretim.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,FATİH İLKOKULU,FATİH MAH. AKGÜN SK. NO: 19 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 682 17 87,,3339415543,arnavutkoyfatihio.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HACIMAŞLI KÖYÜ İLKOKULU,HACIMAŞLI MAH. SARIDEDE SK. NO: 4 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 683 10 99,(212) 683 10 99,1549649182,hacimaslikoyuilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HADIMKÖY İLKOKULU,HASTANE MAH. HARAÇÇI-HADIMKÖY YOLU CAD. NO: 291 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 771 20 21,(212) 771 31 41,2586110260,hadimkoyilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HALİS KUTMANGİL İLKOKULU,İMRAHOR MAH. ÖĞRETMEN RAİF ÖZMEN CAD. NO: 7 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 686 00 70,(212) 686 13 24,1727534032,haliskutmangililkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,HASAN TAHSİN İLKOKULU,ADNAN MENDERES MAH. ÇANGAL ÇEŞME CAD. NO: 1 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 682 08 77,(212) 682 08 87,2634703835,arnavutkoyhasantahsinilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,İBB EVLİYA ÇELEBİ İLKOKULU,ÖMERLİ MAH. TERME SK. NO: 2 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 798 20 82,(212) 798 20 82,1145289862,ibbevliyacelebiilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,İBB YILDIRIM BEYAZIT İLKOKULU,DELİKLİKAYA MAH. ENDER SK. NO: 2 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 803 13 41,,3343026450,ibbyildirimbeyazitilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,KARABURUN İLKOKULU,KARABURUN MAH. BARAJ YOLU CAD. NO: 10 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 762 20 91,(212) 762 20 91,2006234021,karaburunorficetinkayailkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MALAZGİRT İLKOKULU,MAREŞAL FEVZİ ÇAKMAK MAH. YAYLA CAD. NO: 40 İÇ KAPI NO: 2 ARNAVUTKÖY / İSTANBUL,(212) 682 20 20,(212) 682 20 36,1772532576,malazgirtilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MEHMET ZEKİ OBDAN İLKOKULU,Haraççı Mah.Bilen Sok.No:26 34281 Arnavutköy/İstanbul,(212) 683 00 27,(212) 683 00 27,3241616576,mehmetzekiobdanilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MİLLİ EĞİTİM VAKFI FİRDEVS-LÜTFÜ ORGUN İLKOKULU,HİCRET MAH. SERTAÇ SK. NO: 3 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,,,5422737808,768424.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,MİMAR SİNAN İLKOKULU,ANADOLU MAH. GELİBOLU CAD. NO: 95 İÇ KAPI NO: 1 ARNAVUTKÖY / İSTANBUL,(212) 597 99 33,(212) 597 99 33,2022724179,arnavutkoymimarsinanilkokulu.meb.k12.tr,İlkokul,225
İSTANBUL,ARNAVUTKÖY,PİRİ REİS İLKOKULU,MUSTAFA KEMAL PAŞA MAH. 10. YIL CAD. - SİTESİ - BLOK NO: 21 ARNAVUTKÖY / İSTANBUL,(212) 597 00 49,(212) 597 00 48,3307622286,pirireisio.meb.k12.tr,İlkokul,225
